max_ia_risk,max_copy_risk,min_speedup,t_l,t_h,speedup,ia_risk,copy_risk,delta_miou_ia,delta_accuracy_ia,delta_miou_copy,delta_accuracy_copy
0.15,0.25,,0.29,0.83,2.6873815050411802,0.14958029920525473,0.019307066435143006,0.020491059147180194,0.02322022008253095,-0.00018321167883211283,-0.0032857664233576626
0.15,0.25,2.0,0.29,0.83,2.6873815050411802,0.14958029920525473,0.019307066435143006,0.020491059147180194,0.02322022008253095,-0.00018321167883211283,-0.0032857664233576626
0.15,0.3,,0.29,0.83,2.6873815050411802,0.14958029920525473,0.019307066435143006,0.020491059147180194,0.02322022008253095,-0.00018321167883211283,-0.0032857664233576626
0.15,0.3,2.0,0.29,0.83,2.6873815050411802,0.14958029920525473,0.019307066435143006,0.020491059147180194,0.02322022008253095,-0.00018321167883211283,-0.0032857664233576626
0.15,0.35,,0.29,0.83,2.6873815050411802,0.14958029920525473,0.019307066435143006,0.020491059147180194,0.02322022008253095,-0.00018321167883211283,-0.0032857664233576626
0.15,0.35,2.0,0.29,0.83,2.6873815050411802,0.14958029920525473,0.019307066435143006,0.020491059147180194,0.02322022008253095,-0.00018321167883211283,-0.0032857664233576626
0.15,0.4,,0.29,0.83,2.6873815050411802,0.14958029920525473,0.019307066435143006,0.020491059147180194,0.02322022008253095,-0.00018321167883211283,-0.0032857664233576626
0.15,0.4,2.0,0.29,0.83,2.6873815050411802,0.14958029920525473,0.019307066435143006,0.020491059147180194,0.02322022008253095,-0.00018321167883211283,-0.0032857664233576626
0.15,0.45,,0.29,0.83,2.6873815050411802,0.14958029920525473,0.019307066435143006,0.020491059147180194,0.02322022008253095,-0.00018321167883211283,-0.0032857664233576626
0.15,0.45,2.0,0.29,0.83,2.6873815050411802,0.14958029920525473,0.019307066435143006,0.020491059147180194,0.02322022008253095,-0.00018321167883211283,-0.0032857664233576626
0.15,0.5,,0.29,0.83,2.6873815050411802,0.14958029920525473,0.019307066435143006,0.020491059147180194,0.02322022008253095,-0.00018321167883211283,-0.0032857664233576626
