max_ia_risk,max_copy_risk,min_speedup,t_l,t_h,speedup,ia_risk,copy_risk,delta_miou_ia,delta_accuracy_ia,delta_miou_copy,delta_accuracy_copy
0.3,0.3,,0.41,0.56,1.908493580124485,0.29956404281862464,0.2953388333094932,0.0038308124999999996,-0.028785812499999997,0.012547619047619045,-0.0025202380952380923
0.3,0.35,,0.41,0.49,1.9611575343793137,0.2874978050091933,0.3034934140490274,0.0032709166666666663,-0.030325499999999995,0.010774157303370785,-0.0009528089887640441
0.3,0.4,,0.41,0.49,1.9611575343793137,0.2874978050091933,0.3034934140490274,0.0032709166666666663,-0.030325499999999995,0.010774157303370785,-0.0009528089887640441
0.3,0.45,,0.41,0.49,1.9611575343793137,0.2874978050091933,0.3034934140490274,0.0032709166666666663,-0.030325499999999995,0.010774157303370785,-0.0009528089887640441
0.3,0.5,,0.41,0.49,1.9611575343793137,0.2874978050091933,0.3034934140490274,0.0032709166666666663,-0.030325499999999995,0.010774157303370785,-0.0009528089887640441
0.3,0.55,,0.41,0.49,1.9611575343793137,0.2874978050091933,0.3034934140490274,0.0032709166666666663,-0.030325499999999995,0.010774157303370785,-0.0009528089887640441
0.3,0.6,,0.41,0.49,1.9611575343793137,0.2874978050091933,0.3034934140490274,0.0032709166666666663,-0.030325499999999995,0.010774157303370785,-0.0009528089887640441
0.3,0.65,,0.41,0.49,1.9611575343793137,0.2874978050091933,0.3034934140490274,0.0032709166666666663,-0.030325499999999995,0.010774157303370785,-0.0009528089887640441
0.3,0.7,,0.41,0.49,1.9611575343793137,0.2874978050091933,0.3034934140490274,0.0032709166666666663,-0.030325499999999995,0.010774157303370785,-0.0009528089887640441
0.3,0.75,,0.41,0.49,1.9611575343793137,0.2874978050091933,0.3034934140490274,0.0032709166666666663,-0.030325499999999995,0.010774157303370785,-0.0009528089887640441
0.3,0.8,,0.41,0.49,1.9611575343793137,0.2874978050091933,0.3034934140490274,0.0032709166666666663,-0.030325499999999995,0.010774157303370785,-0.0009528089887640441
0.3,0.85,,0.41,0.49,1.9611575343793137,0.2874978050091933,0.3034934140490274,0.0032709166666666663,-0.030325499999999995,0.010774157303370785,-0.0009528089887640441
0.3,0.9,,0.41,0.49,1.9611575343793137,0.2874978050091933,0.3034934140490274,0.0032709166666666663,-0.030325499999999995,0.010774157303370785,-0.0009528089887640441
0.3,0.95,,0.41,0.49,1.9611575343793137,0.2874978050091933,0.3034934140490274,0.0032709166666666663,-0.030325499999999995,0.010774157303370785,-0.0009528089887640441
0.3,1.0,,0.41,0.49,1.9611575343793137,0.2874978050091933,0.3034934140490274,0.0032709166666666663,-0.030325499999999995,0.010774157303370785,-0.0009528089887640441
0.35,0.3,,0.41,0.48,2.039966161247452,0.31870793094203875,0.29341065258410026,0.0005173333333333337,-0.0023458333333333317,0.008917708333333328,-0.005037499999999998
0.35,0.3,2.0,0.41,0.48,2.039966161247452,0.31870793094203875,0.29341065258410026,0.0005173333333333337,-0.0023458333333333317,0.008917708333333328,-0.005037499999999998
0.35,0.35,,0.41,0.48,2.039966161247452,0.31870793094203875,0.29341065258410026,0.0005173333333333337,-0.0023458333333333317,0.008917708333333328,-0.005037499999999998
0.35,0.35,2.0,0.41,0.48,2.039966161247452,0.31870793094203875,0.29341065258410026,0.0005173333333333337,-0.0023458333333333317,0.008917708333333328,-0.005037499999999998
0.35,0.4,,0.41,0.48,2.039966161247452,0.31870793094203875,0.29341065258410026,0.0005173333333333337,-0.0023458333333333317,0.008917708333333328,-0.005037499999999998
0.35,0.4,2.0,0.41,0.48,2.039966161247452,0.31870793094203875,0.29341065258410026,0.0005173333333333337,-0.0023458333333333317,0.008917708333333328,-0.005037499999999998
0.35,0.45,,0.41,0.48,2.039966161247452,0.31870793094203875,0.29341065258410026,0.0005173333333333337,-0.0023458333333333317,0.008917708333333328,-0.005037499999999998
0.35,0.45,2.0,0.41,0.48,2.039966161247452,0.31870793094203875,0.29341065258410026,0.0005173333333333337,-0.0023458333333333317,0.008917708333333328,-0.005037499999999998
0.35,0.5,,0.41,0.48,2.039966161247452,0.31870793094203875,0.29341065258410026,0.0005173333333333337,-0.0023458333333333317,0.008917708333333328,-0.005037499999999998
0.35,0.5,2.0,0.41,0.48,2.039966161247452,0.31870793094203875,0.29341065258410026,0.0005173333333333337,-0.0023458333333333317,0.008917708333333328,-0.005037499999999998
0.35,0.55,,0.41,0.48,2.039966161247452,0.31870793094203875,0.29341065258410026,0.0005173333333333337,-0.0023458333333333317,0.008917708333333328,-0.005037499999999998
0.35,0.55,2.0,0.41,0.48,2.039966161247452,0.31870793094203875,0.29341065258410026,0.0005173333333333337,-0.0023458333333333317,0.008917708333333328,-0.005037499999999998
0.35,0.6,,0.41,0.48,2.039966161247452,0.31870793094203875,0.29341065258410026,0.0005173333333333337,-0.0023458333333333317,0.008917708333333328,-0.005037499999999998
0.35,0.6,2.0,0.41,0.48,2.039966161247452,0.31870793094203875,0.29341065258410026,0.0005173333333333337,-0.0023458333333333317,0.008917708333333328,-0.005037499999999998
0.35,0.65,,0.41,0.48,2.039966161247452,0.31870793094203875,0.29341065258410026,0.0005173333333333337,-0.0023458333333333317,0.008917708333333328,-0.005037499999999998
0.35,0.65,2.0,0.41,0.48,2.039966161247452,0.31870793094203875,0.29341065258410026,0.0005173333333333337,-0.0023458333333333317,0.008917708333333328,-0.005037499999999998
0.35,0.7,,0.41,0.48,2.039966161247452,0.31870793094203875,0.29341065258410026,0.0005173333333333337,-0.0023458333333333317,0.008917708333333328,-0.005037499999999998
0.35,0.7,2.0,0.41,0.48,2.039966161247452,0.31870793094203875,0.29341065258410026,0.0005173333333333337,-0.0023458333333333317,0.008917708333333328,-0.005037499999999998
0.35,0.75,,0.41,0.48,2.039966161247452,0.31870793094203875,0.29341065258410026,0.0005173333333333337,-0.0023458333333333317,0.008917708333333328,-0.005037499999999998
0.35,0.75,2.0,0.41,0.48,2.039966161247452,0.31870793094203875,0.29341065258410026,0.0005173333333333337,-0.0023458333333333317,0.008917708333333328,-0.005037499999999998
0.35,0.8,,0.41,0.48,2.039966161247452,0.31870793094203875,0.29341065258410026,0.0005173333333333337,-0.0023458333333333317,0.008917708333333328,-0.005037499999999998
0.35,0.8,2.0,0.41,0.48,2.039966161247452,0.31870793094203875,0.29341065258410026,0.0005173333333333337,-0.0023458333333333317,0.008917708333333328,-0.005037499999999998
0.35,0.85,,0.41,0.48,2.039966161247452,0.31870793094203875,0.29341065258410026,0.0005173333333333337,-0.0023458333333333317,0.008917708333333328,-0.005037499999999998
