max_ia_risk,max_copy_risk,min_speedup,t_l,t_h,speedup,ia_risk,copy_risk,delta_miou_ia,delta_accuracy_ia,delta_miou_copy,delta_accuracy_copy
0.1,0.2,,0.79,0.85,1.6475170040813885,0.09379710299528378,0.15599242992835216,0.0010049999999999994,-0.02787,0.0052309692671394774,0.005369976359338061
0.1,0.25,,0.79,0.85,1.6475170040813885,0.09379710299528378,0.15599242992835216,0.0010049999999999994,-0.02787,0.0052309692671394774,0.005369976359338061
0.1,0.3,,0.79,0.85,1.6475170040813885,0.09379710299528378,0.15599242992835216,0.0010049999999999994,-0.02787,0.0052309692671394774,0.005369976359338061
0.1,0.35,,0.79,0.85,1.6475170040813885,0.09379710299528378,0.15599242992835216,0.0010049999999999994,-0.02787,0.0052309692671394774,0.005369976359338061
0.1,0.4,,0.79,0.85,1.6475170040813885,0.09379710299528378,0.15599242992835216,0.0010049999999999994,-0.02787,0.0052309692671394774,0.005369976359338061
0.1,0.45,,0.79,0.85,1.6475170040813885,0.09379710299528378,0.15599242992835216,0.0010049999999999994,-0.02787,0.0052309692671394774,0.005369976359338061
0.1,0.5,,0.79,0.85,1.6475170040813885,0.09379710299528378,0.15599242992835216,0.0010049999999999994,-0.02787,0.0052309692671394774,0.005369976359338061
0.1,0.55,,0.79,0.85,1.6475170040813885,0.09379710299528378,0.15599242992835216,0.0010049999999999994,-0.02787,0.0052309692671394774,0.005369976359338061
0.1,0.6,,0.79,0.85,1.6475170040813885,0.09379710299528378,0.15599242992835216,0.0010049999999999994,-0.02787,0.0052309692671394774,0.005369976359338061
0.1,0.65,,0.79,0.85,1.6475170040813885,0.09379710299528378,0.15599242992835216,0.0010049999999999994,-0.02787,0.0052309692671394774,0.005369976359338061
0.1,0.7,,0.79,0.85,1.6475170040813885,0.09379710299528378,0.15599242992835216,0.0010049999999999994,-0.02787,0.0052309692671394774,0.005369976359338061
