model,dataset,scene,frame,reset,tier,n_gt,fresh_f1,reuse_f1,f1_gap,fresh_miou,reuse_miou,miou_gap,baseline_ms,optimized_ms,speedup,baseline_power_w,optimized_power_w,power_reduction_percent,baseline_energy_j,optimized_energy_j,energy_reduction_percent
3dssd,kitti_raw,2011_09_26_drive_0091_sync,45,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,65.38,55.05,1.188,47.863,49.724,-3.888,3.129173,2.737239,12.525
3dssd,kitti_raw,2011_09_26_drive_0091_sync,46,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,66.19,56.25,1.177,43.655,50.761,-16.279,2.889335,2.855215,1.181
3dssd,kitti_raw,2011_09_26_drive_0091_sync,47,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,66.31,54.56,1.215,44.586,49.654,-11.366,2.956633,2.709319,8.365
3dssd,kitti_raw,2011_09_26_drive_0091_sync,48,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,65.7,55.68,1.18,47.943,50.051,-4.397,3.149705,2.786903,11.519
3dssd,kitti_raw,2011_09_26_drive_0091_sync,49,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,66.31,55.13,1.203,47.936,48.804,-1.811,3.178707,2.690462,15.36
3dssd,kitti_raw,2011_09_26_drive_0091_sync,50,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,65.49,54.49,1.202,44.166,49.9,-12.982,2.892634,2.719015,6.002
3dssd,kitti_raw,2011_09_26_drive_0091_sync,51,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,66.65,55.49,1.201,44.566,50.97,-14.368,2.970286,2.828377,4.778
3dssd,kitti_raw,2011_09_26_drive_0091_sync,52,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,67.49,55.01,1.227,48.093,50.848,-5.727,3.245642,2.79694,13.825
3dssd,kitti_raw,2011_09_26_drive_0091_sync,53,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,66.52,54.97,1.21,43.35,48.744,-12.443,2.883828,2.679398,7.089
3dssd,kitti_raw,2011_09_26_drive_0091_sync,54,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,66.46,54.52,1.219,43.949,50.38,-14.632,2.92089,2.746645,5.965
3dssd,kitti_raw,2011_09_26_drive_0091_sync,55,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,66.65,54.58,1.221,47.621,49.201,-3.318,3.17373,2.685222,15.392
