model,dataset,scene,frame,reset,tier,n_gt,fresh_f1,reuse_f1,f1_gap,fresh_miou,reuse_miou,miou_gap,baseline_ms,optimized_ms,speedup,baseline_power_w,optimized_power_w,power_reduction_percent,baseline_energy_j,optimized_energy_j,energy_reduction_percent
centerpoint,nuscenes,scene-0757,75,1,3,17,0.4615,0.4615,0.0,0.7471,0.7471,0.0,172.61,186.53,0.925,37.211,36.661,1.478,6.42309,6.838233,-6.463
centerpoint,nuscenes,scene-0757,76,0,3,16,0.4828,0.4138,0.069,0.7176,0.7122,0.0054,166.77,62.71,2.66,37.089,47.999,-29.418,6.185193,3.009822,51.338
centerpoint,nuscenes,scene-0757,77,0,3,16,0.4444,0.375,0.0694,0.7745,0.641,0.1334,165.25,63.16,2.616,37.217,46.214,-24.176,6.149988,2.918787,52.54
centerpoint,nuscenes,scene-0757,78,0,3,16,0.4,0.4444,-0.0444,0.7754,0.6002,0.1752,172.27,63.65,2.707,37.091,48.079,-29.625,6.389674,3.060029,52.11
centerpoint,nuscenes,scene-0757,79,0,3,17,0.3704,0.3846,-0.0142,0.7978,0.6904,0.1074,166.95,61.5,2.715,36.978,44.486,-20.305,6.173416,2.735949,55.682
centerpoint,nuscenes,scene-0757,80,1,3,17,0.3846,0.3846,0.0,0.8111,0.8111,0.0,170.3,197.98,0.86,36.432,36.407,0.068,6.204128,7.207672,-16.175
centerpoint,nuscenes,scene-0757,81,0,3,18,0.4138,0.4516,-0.0378,0.7697,0.6599,0.1098,175.37,67.83,2.585,37.489,45.362,-21.002,6.574501,3.077092,53.197
centerpoint,nuscenes,scene-0757,82,0,3,18,0.3226,0.4,-0.0774,0.7638,0.5631,0.2007,168.27,65.85,2.555,38.626,47.838,-23.849,6.499665,3.150311,51.531
centerpoint,nuscenes,scene-0757,83,0,3,18,0.4444,0.4444,0.0,0.6688,0.5874,0.0814,165.53,61.94,2.672,38.169,47.254,-23.8,6.31808,2.926875,53.675
centerpoint,nuscenes,scene-0757,84,0,3,16,0.4348,0.3077,0.1271,0.7368,0.681,0.0558,165.76,63.89,2.595,36.701,45.99,-25.313,6.083527,2.938106,51.704
centerpoint,nuscenes,scene-0757,85,1,3,16,0.3704,0.3704,0.0,0.7308,0.7308,0.0,170.56,184.82,0.923,38.101,35.741,6.193,6.498593,6.605769,-1.649
centerpoint,nuscenes,scene-0757,86,0,3,14,0.5217,0.5,0.0217,0.7094,0.6671,0.0422,169.77,68.38,2.483,36.399,44.161,-21.325,6.17941,3.019694,51.133
centerpoint,nuscenes,scene-0757,87,0,3,14,0.32,0.3077,0.0123,0.7812,0.6889,0.0923,168.67,63.34,2.663,38.41,45.229,-17.753,6.47851,2.864881,55.779
centerpoint,nuscenes,scene-0757,88,0,3,14,0.4,0.4,0.0,0.8036,0.7268,0.0768,165.08,63.53,2.598,36.749,46.209,-25.743,6.066351,2.935661,51.607
centerpoint,nuscenes,scene-0757,89,0,3,14,0.2609,0.3636,-0.1028,0.8276,0.7743,0.0534,164.46,61.28,2.684,38.829,47.454,-22.211,6.385666,2.907768,54.464
centerpoint,nuscenes,scene-0757,90,1,3,14,0.3636,0.3636,0.0,0.7386,0.7386,0.0,164.75,184.39,0.893,37.579,36.345,3.283,6.191065,6.701777,-8.249
centerpoint,nuscenes,scene-0757,91,0,3,14,0.4167,0.4348,-0.0181,0.785,0.7778,0.0071,172.47,69.51,2.481,37.681,44.761,-18.79,6.498876,3.111353,52.125
centerpoint,nuscenes,scene-0757,92,0,3,14,0.4,0.2963,0.1037,0.7287,0.7943,-0.0656,165.62,64.67,2.561,37.129,46.021,-23.948,6.149203,2.975975,51.604
centerpoint,nuscenes,scene-0757,93,0,3,14,0.4545,0.3478,0.1067,0.7781,0.81,-0.0319,186.11,69.27,2.687,36.088,46.214,-28.057,6.716342,3.201247,52.336
centerpoint,nuscenes,scene-0757,94,0,3,12,0.3478,0.3571,-0.0093,0.7608,0.7192,0.0416,168.79,68.71,2.457,37.371,45.859,-22.711,6.307736,3.150808,50.049
centerpoint,nuscenes,scene-0757,95,1,3,12,0.5,0.5,0.0,0.7536,0.7536,0.0,167.52,185.7,0.902,39.2,35.674,8.994,6.566895,6.624669,-0.88
centerpoint,nuscenes,scene-0757,96,0,3,12,0.4545,0.4762,-0.0216,0.764,0.7627,0.0012,168.49,67.14,2.509,37.25,44.719,-20.052,6.276157,3.002564,52.159
centerpoint,nuscenes,scene-0757,97,0,3,12,0.5,0.4545,0.0455,0.7927,0.7847,0.008,166.47,67.35,2.472,39.086,43.889,-12.286,6.506604,2.955712,54.574
centerpoint,nuscenes,scene-0757,98,0,3,12,0.3846,0.32,0.0646,0.7668,0.788,-0.0212,170.96,62.97,2.715,37.477,47.785,-27.505,6.407031,3.009062,53.035
centerpoint,nuscenes,scene-0796,0,1,3,22,0.2326,0.2326,0.0,0.6921,0.6921,0.0,146.35,160.28,0.913,38.776,37.707,2.756,5.674979,6.043613,-6.496
centerpoint,nuscenes,scene-0796,1,0,3,22,0.2083,0.2174,-0.0091,0.6299,0.6701,-0.0402,191.59,73.85,2.594,37.575,47.56,-26.572,7.198976,3.512489,51.208
centerpoint,nuscenes,scene-0796,2,0,3,22,0.2222,0.1778,0.0444,0.7677,0.7629,0.0048,185.27,69.9,2.65,39.514,47.052,-19.076,7.320779,3.289118,55.071
centerpoint,nuscenes,scene-0796,3,0,3,21,0.2381,0.2273,0.0108,0.7366,0.7334,0.0032,190.87,74.29,2.569,36.569,44.897,-22.775,6.979864,3.335499,52.213
centerpoint,nuscenes,scene-0796,4,0,3,21,0.2222,0.2564,-0.0342,0.6965,0.6781,0.0184,185.12,66.06,2.802,37.84,52.373,-38.408,7.004744,3.459891,50.606
centerpoint,nuscenes,scene-0796,5,1,3,23,0.2791,0.2791,0.0,0.677,0.677,0.0,202.03,203.28,0.994,37.227,36.914,0.84,7.52115,7.50403,0.228
centerpoint,nuscenes,scene-0796,6,0,3,23,0.3636,0.3182,0.0455,0.6794,0.5833,0.0961,188.68,68.33,2.761,37.629,49.253,-30.891,7.099749,3.365577,52.596
centerpoint,nuscenes,scene-0796,7,0,3,23,0.2727,0.2439,0.0288,0.7351,0.7651,-0.03,185.42,70.03,2.648,37.594,48.472,-28.936,6.970739,3.394409,51.305
centerpoint,nuscenes,scene-0796,8,0,3,23,0.3256,0.25,0.0756,0.6768,0.7091,-0.0323,184.24,66.6,2.767,38.067,46.079,-21.046,7.013615,3.068661,56.247
centerpoint,nuscenes,scene-0796,9,0,3,23,0.3721,0.3333,0.0388,0.6744,0.6535,0.0209,186.23,68.18,2.731,39.69,48.374,-21.878,7.391393,3.298288,55.377
centerpoint,nuscenes,scene-0796,10,1,3,22,0.3158,0.3158,0.0,0.7731,0.7731,0.0,187.37,202.34,0.926,39.086,36.158,7.493,7.323567,7.316219,0.1
centerpoint,nuscenes,scene-0796,11,0,3,22,0.3684,0.15,0.2184,0.7844,0.7962,-0.0118,191.61,74.56,2.57,37.672,48.819,-29.59,7.218355,3.639814,49.576
centerpoint,nuscenes,scene-0796,12,0,3,22,0.381,0.2857,0.0952,0.635,0.5952,0.0398,194.29,70.34,2.762,39.709,47.475,-19.558,7.714847,3.339368,56.715
centerpoint,nuscenes,scene-0796,13,0,3,23,0.2927,0.2609,0.0318,0.7031,0.5701,0.1329,191.41,74.06,2.584,37.45,47.54,-26.944,7.168259,3.521004,50.881
centerpoint,nuscenes,scene-0796,14,0,3,23,0.3684,0.2979,0.0705,0.6524,0.5328,0.1196,187.7,69.82,2.688,38.985,48.649,-24.788,7.317576,3.396521,53.584
centerpoint,nuscenes,scene-0796,15,1,3,24,0.2703,0.2703,0.0,0.7174,0.7174,0.0,185.62,202.11,0.918,36.432,36.15,0.774,6.762612,7.306323,-8.04
centerpoint,nuscenes,scene-0796,16,0,3,24,0.1538,0.1714,-0.0176,0.6797,0.6225,0.0573,196.08,76.06,2.578,38.068,46.712,-22.707,7.464235,3.553005,52.4
centerpoint,nuscenes,scene-0796,17,0,3,24,0.2105,0.2,0.0105,0.5956,0.5707,0.025,189.53,73.66,2.573,40.973,46.22,-12.806,7.765782,3.404618,56.159
centerpoint,nuscenes,scene-0796,18,0,3,24,0.1579,0.0541,0.1038,0.6674,0.7428,-0.0754,187.21,75.34,2.485,39.225,47.295,-20.572,7.343354,3.563001,51.48
centerpoint,nuscenes,scene-0796,19,0,3,24,0.2703,0.2286,0.0417,0.6791,0.6172,0.0619,189.1,72.84,2.596,38.511,46.706,-21.279,7.282467,3.402132,53.283
centerpoint,nuscenes,scene-0796,20,1,3,26,0.3,0.3,0.0,0.6307,0.6307,0.0,187.34,202.04,0.927,38.863,35.805,7.868,7.280515,7.234106,0.637
centerpoint,nuscenes,scene-0796,21,0,3,26,0.2791,0.2128,0.0663,0.6358,0.6541,-0.0183,189.34,74.01,2.558,37.378,47.347,-26.673,7.07699,3.504101,50.486
centerpoint,nuscenes,scene-0796,22,0,3,26,0.2105,0.3,-0.0895,0.6378,0.4942,0.1436,215.71,66.38,3.25,37.45,49.729,-32.787,8.078404,3.301111,59.137
centerpoint,nuscenes,scene-0796,23,0,3,26,0.24,0.1961,0.0439,0.6691,0.6735,-0.0044,184.05,65.25,2.821,40.729,48.018,-17.896,7.496398,3.133049,58.206
centerpoint,nuscenes,scene-0796,24,0,3,26,0.2857,0.3043,-0.0186,0.6925,0.7111,-0.0186,180.96,62.02,2.918,39.96,52.731,-31.96,7.231234,3.270175,54.777
centerpoint,nuscenes,scene-0796,25,1,3,28,0.3333,0.3333,0.0,0.6547,0.6547,0.0,193.25,202.14,0.956,38.551,36.469,5.4,7.449957,7.37186,1.048
centerpoint,nuscenes,scene-0796,26,0,3,28,0.2692,0.2456,0.0236,0.6559,0.6544,0.0015,191.98,70.92,2.707,37.211,48.334,-29.891,7.143701,3.428019,52.013
centerpoint,nuscenes,scene-0796,27,0,3,28,0.3333,0.3137,0.0196,0.6687,0.6575,0.0111,188.37,65.47,2.877,38.947,47.912,-23.019,7.336407,3.136854,57.243
centerpoint,nuscenes,scene-0796,28,0,3,26,0.4091,0.4186,-0.0095,0.638,0.6116,0.0264,205.7,64.55,3.187,37.911,49.552,-30.707,7.798204,3.198691,58.982
centerpoint,nuscenes,scene-0796,29,0,3,26,0.3,0.3333,-0.0333,0.7647,0.6539,0.1107,187.06,67.36,2.777,38.489,48.868,-26.966,7.199756,3.291519,54.283
centerpoint,nuscenes,scene-0796,30,1,3,23,0.3721,0.3721,0.0,0.6546,0.6546,0.0,182.34,192.18,0.949,37.217,36.652,1.518,6.786012,7.043863,-3.8
centerpoint,nuscenes,scene-0796,31,0,3,23,0.3415,0.3182,0.0233,0.7112,0.6931,0.0181,185.22,67.07,2.761,38.74,48.097,-24.154,7.17527,3.226026,55.04
centerpoint,nuscenes,scene-0796,32,0,3,23,0.439,0.3556,0.0835,0.6953,0.6822,0.0131,187.89,69.88,2.689,37.701,47.701,-26.525,7.083522,3.333525,52.94
centerpoint,nuscenes,scene-0796,33,0,3,21,0.4103,0.2927,0.1176,0.7093,0.7568,-0.0475,181.64,66.88,2.716,38.117,53.297,-39.823,6.923558,3.564454,48.517
centerpoint,nuscenes,scene-0796,34,0,3,21,0.4211,0.2857,0.1353,0.7098,0.7469,-0.0371,180.61,66.69,2.708,40.112,53.173,-32.561,7.244615,3.546311,51.049
centerpoint,nuscenes,scene-0796,35,1,3,21,0.4211,0.4211,0.0,0.7188,0.7188,0.0,180.45,195.09,0.925,40.118,36.999,7.773,7.239066,7.218212,0.288
centerpoint,nuscenes,scene-0796,36,0,3,21,0.4571,0.3333,0.1238,0.7251,0.7338,-0.0086,183.72,63.79,2.88,36.293,49.611,-36.696,6.66772,3.164901,52.534
centerpoint,nuscenes,scene-0796,37,0,3,21,0.4,0.2564,0.1436,0.7272,0.726,0.0012,185.83,72.67,2.557,38.559,49.172,-27.523,7.165256,3.573192,50.132
centerpoint,nuscenes,scene-0796,38,0,3,20,0.4118,0.3077,0.1041,0.6806,0.7084,-0.0278,185.0,71.28,2.595,39.32,48.008,-22.095,7.274187,3.421965,52.957
centerpoint,nuscenes,scene-0796,39,0,3,20,0.375,0.375,0.0,0.6582,0.6436,0.0146,183.4,68.79,2.666,37.713,50.978,-35.175,6.916581,3.506919,49.297
centerpoint,nuscenes,scene-0796,40,1,3,19,0.2703,0.2703,0.0,0.7124,0.7124,0.0,186.36,213.95,0.871,38.544,37.251,3.355,7.182978,7.969927,-10.956
centerpoint,nuscenes,scene-0796,41,0,3,19,0.3529,0.2703,0.0827,0.6202,0.5882,0.0319,189.86,73.32,2.589,38.733,49.711,-28.345,7.353577,3.644721,50.436
centerpoint,nuscenes,scene-0796,42,0,3,19,0.2564,0.3158,-0.0594,0.699,0.7076,-0.0086,182.72,72.74,2.512,37.816,50.116,-32.527,6.909492,3.645289,47.242
centerpoint,nuscenes,scene-0796,43,0,3,18,0.3333,0.3429,-0.0095,0.6633,0.6773,-0.014,193.62,71.69,2.701,38.812,47.739,-23.001,7.514677,3.422432,54.457
centerpoint,nuscenes,scene-0796,44,0,3,18,0.4,0.2857,0.1143,0.6438,0.7097,-0.0659,185.85,69.13,2.688,37.429,48.129,-28.585,6.956281,3.327095,52.171
centerpoint,nuscenes,scene-0796,45,1,3,19,0.2857,0.2857,0.0,0.6806,0.6806,0.0,184.06,200.47,0.918,37.131,36.279,2.294,6.834293,7.272797,-6.416
centerpoint,nuscenes,scene-0796,46,0,3,19,0.3243,0.3226,0.0017,0.7328,0.7508,-0.018,207.04,66.61,3.108,38.507,48.697,-26.463,7.972518,3.243853,59.312
centerpoint,nuscenes,scene-0796,47,0,3,19,0.4118,0.4118,0.0,0.6128,0.6225,-0.0097,185.96,67.61,2.75,37.109,46.367,-24.946,6.900851,3.135075,54.57
centerpoint,nuscenes,scene-0796,48,0,3,20,0.3,0.3684,-0.0684,0.6348,0.6056,0.0292,181.39,67.15,2.701,39.135,48.521,-23.983,7.098877,3.258033,54.105
centerpoint,nuscenes,scene-0796,49,0,3,20,0.2703,0.2941,-0.0238,0.7317,0.7084,0.0233,182.01,72.56,2.508,38.612,47.608,-23.298,7.02786,3.454593,50.844
centerpoint,nuscenes,scene-0796,50,1,3,19,0.375,0.375,0.0,0.7608,0.7608,0.0,188.48,197.75,0.953,37.607,36.077,4.067,7.088237,7.134403,-0.651
centerpoint,nuscenes,scene-0796,51,0,3,19,0.4571,0.4118,0.0454,0.656,0.6673,-0.0114,187.74,70.87,2.649,39.576,47.38,-19.719,7.430003,3.357734,54.808
centerpoint,nuscenes,scene-0796,52,0,3,19,0.5263,0.381,0.1454,0.5674,0.6147,-0.0473,210.2,74.72,2.813,37.505,45.641,-21.694,7.883472,3.410257,56.742
centerpoint,nuscenes,scene-0796,53,0,3,16,0.5625,0.4848,0.0777,0.7072,0.7458,-0.0385,186.11,69.08,2.694,37.765,47.449,-25.643,7.028334,3.277726,53.364
centerpoint,nuscenes,scene-0796,54,0,3,16,0.6,0.5385,0.0615,0.6517,0.7074,-0.0557,183.17,74.92,2.445,39.407,47.479,-20.485,7.218163,3.55723,50.718
centerpoint,nuscenes,scene-0796,55,1,3,14,0.64,0.64,0.0,0.7004,0.7004,0.0,185.06,198.06,0.934,39.313,36.912,6.109,7.275112,7.310744,-0.49
centerpoint,nuscenes,scene-0796,56,0,3,14,0.5926,0.5385,0.0541,0.7509,0.7074,0.0435,188.45,69.03,2.73,37.787,50.19,-32.824,7.120851,3.464601,51.346
centerpoint,nuscenes,scene-0796,57,0,3,14,0.5625,0.5294,0.0331,0.7247,0.6372,0.0875,185.05,72.13,2.565,38.554,47.13,-22.243,7.134573,3.399649,52.35
centerpoint,nuscenes,scene-0796,58,0,3,15,0.5161,0.4848,0.0313,0.7331,0.7164,0.0167,186.56,68.52,2.723,38.979,48.439,-24.269,7.271886,3.31909,54.357
centerpoint,nuscenes,scene-0796,59,0,3,15,0.625,0.5143,0.1107,0.67,0.641,0.029,188.47,70.01,2.692,36.7,46.53,-26.785,6.916836,3.257746,52.901
centerpoint,nuscenes,scene-0796,60,1,3,14,0.6923,0.6923,0.0,0.6895,0.6895,0.0,189.59,200.72,0.945,37.251,36.06,3.198,7.062417,7.238035,-2.487
centerpoint,nuscenes,scene-0796,61,0,3,14,0.5333,0.6,-0.0667,0.6431,0.6066,0.0365,185.74,69.04,2.69,37.345,47.225,-26.456,6.936687,3.260636,52.994
centerpoint,nuscenes,scene-0796,62,0,3,14,0.4118,0.3784,0.0334,0.7262,0.6298,0.0964,192.18,70.95,2.709,37.335,48.315,-29.41,7.175197,3.427974,52.225
centerpoint,nuscenes,scene-0796,63,0,3,15,0.4828,0.5333,-0.0506,0.7465,0.7015,0.0451,183.65,62.42,2.942,38.57,49.976,-29.571,7.083449,3.119559,55.96
centerpoint,nuscenes,scene-0796,64,0,3,15,0.4516,0.4516,0.0,0.7014,0.6159,0.0855,201.08,72.87,2.76,38.787,50.748,-30.836,7.799285,3.697803,52.588
centerpoint,nuscenes,scene-0796,65,1,3,16,0.5294,0.5294,0.0,0.6291,0.6291,0.0,189.69,198.62,0.955,39.587,36.416,8.009,7.509158,7.233004,3.678
centerpoint,nuscenes,scene-0796,66,0,3,16,0.5455,0.5,0.0455,0.656,0.6633,-0.0072,192.14,72.41,2.653,37.527,46.699,-24.441,7.21027,3.381575,53.101
centerpoint,nuscenes,scene-0796,67,0,3,16,0.6207,0.4571,0.1635,0.6639,0.6487,0.0152,188.75,68.49,2.756,37.433,46.376,-23.89,7.06556,3.176402,55.044
centerpoint,nuscenes,scene-0796,68,0,3,16,0.4375,0.5161,-0.0786,0.7784,0.6643,0.1141,190.05,72.43,2.624,37.46,48.277,-28.879,7.11935,3.496583,50.886
centerpoint,nuscenes,scene-0796,69,0,3,16,0.5333,0.4667,0.0667,0.7095,0.6631,0.0464,186.87,68.49,2.728,37.513,48.829,-30.166,7.009925,3.344451,52.29
centerpoint,nuscenes,scene-0796,70,1,3,17,0.5161,0.5161,0.0,0.6999,0.6999,0.0,197.83,202.75,0.976,37.653,35.863,4.752,7.448808,7.271296,2.383
centerpoint,nuscenes,scene-0796,71,0,3,17,0.4848,0.3529,0.1319,0.6393,0.6,0.0393,189.21,72.03,2.627,37.81,47.239,-24.939,7.154186,3.402588,52.439
centerpoint,nuscenes,scene-0796,72,0,3,17,0.4324,0.4118,0.0207,0.7214,0.6329,0.0886,187.99,71.83,2.617,38.214,46.781,-22.418,7.18377,3.36019,53.225
centerpoint,nuscenes,scene-0796,73,0,3,17,0.5143,0.381,0.1333,0.6972,0.6725,0.0247,185.03,67.33,2.748,37.899,48.264,-27.348,7.012357,3.249623,53.659
centerpoint,nuscenes,scene-0796,74,0,3,17,0.3784,0.359,0.0194,0.7214,0.6702,0.0512,188.51,70.52,2.673,38.401,46.183,-20.267,7.238822,3.256654,55.011
centerpoint,nuscenes,scene-0796,75,1,3,15,0.4848,0.4848,0.0,0.7663,0.7663,0.0,189.61,220.91,0.858,38.0,36.094,5.017,7.205105,7.973607,-10.666
centerpoint,nuscenes,scene-0796,76,0,3,15,0.5,0.4848,0.0152,0.7453,0.6315,0.1138,190.15,77.77,2.445,36.928,46.657,-26.346,7.021888,3.628515,48.326
centerpoint,nuscenes,scene-0796,77,0,3,15,0.4444,0.4,0.0444,0.7323,0.634,0.0983,193.29,71.02,2.721,38.843,46.937,-20.839,7.507741,3.333614,55.598
centerpoint,nuscenes,scene-0796,78,0,3,11,0.4286,0.5,-0.0714,0.7009,0.701,-0.0001,184.91,70.74,2.614,37.025,48.079,-29.855,6.846296,3.40094,50.324
centerpoint,nuscenes,scene-0796,79,0,3,11,0.5217,0.5455,-0.0237,0.6487,0.5829,0.0658,183.47,70.36,2.608,38.26,48.149,-25.847,7.019608,3.387849,51.737
centerpoint,nuscenes,scene-0796,80,1,3,10,0.5714,0.5714,0.0,0.6864,0.6864,0.0,184.44,204.09,0.904,36.556,37.174,-1.691,6.742216,7.586905,-12.528
centerpoint,nuscenes,scene-0796,81,0,3,10,0.5455,0.5217,0.0237,0.6804,0.5751,0.1053,211.11,74.84,2.821,37.197,44.381,-19.313,7.852572,3.321404,57.703
centerpoint,nuscenes,scene-0796,82,0,3,10,0.48,0.48,0.0,0.7527,0.719,0.0336,186.28,73.81,2.524,37.474,46.918,-25.2,6.980795,3.463123,50.391
centerpoint,nuscenes,scene-0796,83,0,3,9,0.4762,0.3636,0.1126,0.7936,0.7927,0.0009,193.1,71.65,2.695,37.331,45.2,-21.078,7.208739,3.23853,55.075
centerpoint,nuscenes,scene-0796,84,0,3,9,0.5333,0.4706,0.0627,0.8242,0.812,0.0122,187.74,78.12,2.403,37.873,45.388,-19.841,7.110224,3.545567,50.134
centerpoint,nuscenes,scene-0796,85,1,3,8,0.4706,0.4706,0.0,0.8213,0.8213,0.0,190.61,203.91,0.935,37.694,35.481,5.873,7.185021,7.234779,-0.693
centerpoint,nuscenes,scene-0796,86,0,3,8,0.4706,0.4,0.0706,0.8048,0.7955,0.0092,180.8,66.18,2.732,37.173,48.234,-29.754,6.720922,3.191915,52.508
centerpoint,nuscenes,scene-0796,87,0,3,8,0.5714,0.4444,0.127,0.7436,0.7237,0.0199,200.97,64.91,3.096,37.619,50.211,-33.471,7.560468,3.259275,56.891
centerpoint,nuscenes,scene-0796,88,0,3,9,0.381,0.3333,0.0476,0.7223,0.7111,0.0112,186.38,65.04,2.865,39.24,49.145,-25.242,7.313455,3.196539,56.292
centerpoint,nuscenes,scene-0796,89,0,3,9,0.3333,0.3529,-0.0196,0.7875,0.7736,0.0139,187.52,70.21,2.671,37.213,46.869,-25.948,6.978189,3.290814,52.841
centerpoint,nuscenes,scene-0796,90,1,3,9,0.375,0.375,0.0,0.7903,0.7903,0.0,184.25,202.25,0.911,39.138,35.675,8.848,7.211083,7.215241,-0.058
centerpoint,nuscenes,scene-0796,91,0,3,9,0.5,0.3529,0.1471,0.7195,0.6891,0.0303,194.6,78.05,2.493,36.038,48.739,-35.242,7.01295,3.804053,45.757
centerpoint,nuscenes,scene-0796,92,0,3,9,0.5,0.4211,0.0789,0.6137,0.5987,0.015,188.12,69.54,2.705,37.482,46.583,-24.279,7.051356,3.239378,54.06
centerpoint,nuscenes,scene-0796,93,0,3,8,0.3333,0.3158,0.0175,0.723,0.7234,-0.0004,209.58,74.1,2.829,37.425,43.752,-16.907,7.843665,3.241923,58.668
centerpoint,nuscenes,scene-0796,94,0,3,8,0.4615,0.3529,0.1086,0.7235,0.722,0.0015,205.0,76.16,2.692,36.774,46.446,-26.303,7.538672,3.537315,53.078
centerpoint,nuscenes,scene-0796,95,1,3,8,0.5333,0.5333,0.0,0.6645,0.6645,0.0,185.93,202.37,0.919,37.022,35.556,3.96,6.883417,7.19546,-4.533
centerpoint,nuscenes,scene-0796,96,0,3,8,0.5333,0.4444,0.0889,0.6594,0.6803,-0.0209,188.89,70.59,2.676,37.068,45.245,-22.059,7.001966,3.193966,54.385
centerpoint,nuscenes,scene-0796,97,0,3,8,0.4615,0.3529,0.1086,0.7449,0.7419,0.003,198.44,67.8,2.927,38.819,47.65,-22.751,7.703218,3.2305,58.063
centerpoint,nuscenes,scene-0916,0,1,3,43,0.3768,0.3768,0.0,0.625,0.625,0.0,149.86,161.4,0.928,37.333,37.637,-0.814,5.594607,6.074508,-8.578
centerpoint,nuscenes,scene-0916,1,0,3,43,0.3582,0.4167,-0.0585,0.578,0.5522,0.0258,192.44,73.85,2.606,37.151,46.883,-26.197,7.149117,3.462279,51.571
centerpoint,nuscenes,scene-0916,2,0,3,48,0.3133,0.3,0.0133,0.6437,0.6784,-0.0347,192.75,72.34,2.665,36.42,50.028,-37.364,7.020118,3.619053,48.447
centerpoint,nuscenes,scene-0916,3,0,3,48,0.3953,0.4096,-0.0143,0.5952,0.5775,0.0178,186.18,73.76,2.524,37.111,45.808,-23.435,6.909372,3.37858,51.101
centerpoint,nuscenes,scene-0916,4,0,3,48,0.3457,0.3377,0.008,0.6795,0.6767,0.0027,189.14,70.27,2.691,37.172,47.443,-27.632,7.030602,3.333947,52.579
centerpoint,nuscenes,scene-0916,5,1,3,51,0.3182,0.3182,0.0,0.5876,0.5876,0.0,187.8,214.32,0.876,36.926,36.667,0.702,6.934592,7.858663,-13.326
centerpoint,nuscenes,scene-0916,6,0,3,51,0.4222,0.4,0.0222,0.5929,0.5982,-0.0053,188.49,79.69,2.365,37.532,45.12,-20.218,7.074441,3.595735,49.173
centerpoint,nuscenes,scene-0916,7,0,3,57,0.3556,0.4043,-0.0487,0.5846,0.5299,0.0548,184.96,70.16,2.636,37.765,47.94,-26.946,6.984805,3.363583,51.844
centerpoint,nuscenes,scene-0916,8,0,3,57,0.2766,0.3297,-0.0531,0.6318,0.5718,0.06,184.91,71.05,2.603,37.646,50.82,-34.994,6.961178,3.610692,48.131
centerpoint,nuscenes,scene-0916,9,0,3,60,0.3226,0.3404,-0.0178,0.5644,0.5536,0.0108,187.69,75.29,2.493,37.607,46.859,-24.604,7.058242,3.527976,50.016
centerpoint,nuscenes,scene-0916,10,1,3,60,0.4242,0.4242,0.0,0.5876,0.5876,0.0,189.47,201.48,0.94,37.686,36.171,4.019,7.140246,7.287747,-2.066
centerpoint,nuscenes,scene-0916,11,0,3,60,0.4632,0.4,0.0632,0.5964,0.6143,-0.0179,189.39,72.31,2.619,38.284,46.546,-21.582,7.250604,3.365871,53.578
centerpoint,nuscenes,scene-0916,12,0,3,65,0.3922,0.3762,0.0159,0.6621,0.6582,0.0039,186.53,70.22,2.656,37.942,48.348,-27.427,7.077176,3.394908,52.03
centerpoint,nuscenes,scene-0916,13,0,3,65,0.4,0.4381,-0.0381,0.6165,0.6033,0.0132,189.02,71.2,2.655,36.444,46.815,-28.457,6.88857,3.333434,51.609
centerpoint,nuscenes,scene-0916,14,0,3,69,0.4407,0.3478,0.0929,0.5823,0.5765,0.0057,186.89,69.71,2.681,37.832,46.85,-23.839,7.070294,3.26589,53.808
centerpoint,nuscenes,scene-0916,15,1,3,69,0.3684,0.3684,0.0,0.588,0.588,0.0,185.64,199.4,0.931,37.333,36.697,1.702,6.930583,7.317288,-5.58
centerpoint,nuscenes,scene-0916,16,0,3,69,0.4505,0.4298,0.0207,0.6174,0.5974,0.02,191.07,70.88,2.696,37.65,45.641,-21.227,7.193864,3.234892,55.033
centerpoint,nuscenes,scene-0916,17,0,3,71,0.4706,0.4516,0.019,0.6225,0.6215,0.001,182.74,75.86,2.409,39.062,44.941,-15.049,7.138356,3.409242,52.241
centerpoint,nuscenes,scene-0916,18,0,3,71,0.5469,0.5124,0.0345,0.5909,0.6078,-0.0168,184.32,70.85,2.601,38.12,46.324,-21.521,7.026196,3.28215,53.287
centerpoint,nuscenes,scene-0916,19,0,3,70,0.5289,0.5763,-0.0473,0.6397,0.6278,0.0119,184.83,72.34,2.555,38.237,47.317,-23.746,7.067364,3.42292,51.567
centerpoint,nuscenes,scene-0916,20,1,3,70,0.5528,0.5528,0.0,0.5724,0.5724,0.0,186.89,203.42,0.919,36.714,35.506,3.292,6.861592,7.22262,-5.262
centerpoint,nuscenes,scene-0916,21,0,3,70,0.5271,0.541,-0.0139,0.6422,0.6292,0.0129,182.52,59.66,3.059,36.909,50.504,-36.834,6.736432,3.013047,55.272
centerpoint,nuscenes,scene-0916,22,0,3,70,0.5564,0.5109,0.0454,0.6221,0.615,0.0071,200.69,73.02,2.748,37.843,48.248,-27.494,7.594866,3.523215,53.611
centerpoint,nuscenes,scene-0916,23,0,3,70,0.5231,0.56,-0.0369,0.6804,0.6423,0.0381,183.74,74.41,2.469,39.225,45.686,-16.472,7.207291,3.399375,52.834
centerpoint,nuscenes,scene-0916,24,0,3,71,0.5676,0.5468,0.0208,0.6188,0.6366,-0.0178,186.63,68.97,2.706,38.817,48.203,-24.182,7.244358,3.324626,54.107
