scene,frame,reset,tier,tier_name,n_gt,fresh_f1,reuse_f1,f1_gap,fresh_miou,reuse_miou,miou_gap,fresh_ms,reuse_ms,speedup,total_voxels,direct_voxels,jacobian_voxels,vfe_voxels,direct_fraction,jacobian_fraction,vfe_fraction,routed_fraction,point_reuse_fraction,mean_coverage,mean_purity
scene-0916,93,0,3,direct,40,0.6374,0.6047,0.0327,0.6498,0.6464,0.0034,199.88,82.46,2.424,35402,10260,0,25142,0.2898,0.0,0.7102,0.2898,0.8176,0.4432,0.4244
scene-0916,94,0,3,direct,39,0.6222,0.6222,0.0,0.6422,0.6177,0.0245,218.62,77.25,2.83,35921,10726,0,25195,0.2986,0.0,0.7014,0.2986,0.8069,0.4442,0.4265
scene-0916,95,1,3,direct,39,0.6977,0.6977,0.0,0.6187,0.6187,0.0,190.18,190.12,1.0,46615,0,0,46615,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scene-0916,96,0,3,direct,39,0.7143,0.6512,0.0631,0.6369,0.6379,-0.001,188.93,73.29,2.578,34067,17836,0,16231,0.5236,0.0,0.4764,0.5236,0.815,0.7658,0.6716
scene-0916,97,0,3,direct,37,0.6047,0.5647,0.0399,0.6497,0.625,0.0247,186.85,75.99,2.459,32347,10661,0,21686,0.3296,0.0,0.6704,0.3296,0.8392,0.4953,0.4789
scene-0916,98,0,3,direct,37,0.6173,0.6024,0.0149,0.648,0.6581,-0.0102,188.67,71.2,2.65,32605,9729,0,22876,0.2984,0.0,0.7016,0.2984,0.8138,0.4522,0.436
scene-1077,0,1,3,direct,16,0.5238,0.5238,0.0,0.6773,0.6773,0.0,137.22,154.87,0.886,40516,0,0,40516,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scene-1077,1,0,3,direct,16,0.4615,0.3913,0.0702,0.721,0.662,0.059,189.62,70.13,2.704,36570,18296,0,18274,0.5003,0.0,0.4997,0.5003,0.8155,0.7131,0.6309
scene-1077,2,0,3,direct,18,0.5854,0.5,0.0854,0.6973,0.6774,0.0199,189.39,67.24,2.817,37920,12089,0,25831,0.3188,0.0,0.6812,0.3188,0.8128,0.4735,0.4542
scene-1077,3,0,3,direct,18,0.5238,0.4762,0.0476,0.7192,0.6591,0.0601,193.59,78.03,2.481,36974,12310,0,24664,0.3329,0.0,0.6671,0.3329,0.824,0.4866,0.4709
