t_l,t_h,speedup,ia_risk,copy_risk,valid
0.29,0.4,17.58649526671646,0.280314326998848,0.03444239609274857,True
0.29,0.41,17.263959321713084,0.2501057906675442,0.03400947584264102,True
0.29,0.44,16.451629433194288,0.2874978050091933,0.033489462523601125,True
0.29,0.48,14.890210554479783,0.22488975696039035,0.03248766476129407,True
0.29,0.49,14.588442165691871,0.21451483917438285,0.032351071103443436,True
0.29,0.5,14.100947055764555,0.24262504488785797,0.032317781040594296,True
0.29,0.53,12.643987772714192,0.20754369784393237,0.032921608815098626,True
0.29,0.54,12.130123740018508,0.20375479890745027,0.03270378502345575,True
0.45,0.48,11.938929165533844,0.1994675930978221,0.03248766476129407,True
0.45,0.49,11.7441462714356,0.1809609634367385,0.032351071103443436,True
0.29,0.55,11.62318204425219,0.23364227463378734,0.03220537513940575,True
0.47,0.49,11.034011188489885,0.16232235993170813,0.032351071103443436,True
0.29,0.56,10.947315283574905,0.21139864106691775,0.03219563268921288,True
0.29,0.57,10.336990846819456,0.20805001373484364,0.031879492496925524,True
0.29,0.58,9.814683601127761,0.21885674677748304,0.031199652814815723,True
0.29,0.59,9.250806377357327,0.20607470467796762,0.030614007975412093,True
0.45,0.57,8.822906072390984,0.20579794201275142,0.031879492496925524,True
0.29,0.6,8.710837859885793,0.2137238411563939,0.030055206386653554,True
0.29,0.61,8.142802987049484,0.2248720545815283,0.02926818848175995,True
0.45,0.59,8.019241516186094,0.20445178883421022,0.030614007975412093,True
0.29,0.62,7.6827096711204135,0.23499085017552457,0.027986491280222854,True
0.29,0.63,7.22887251109524,0.219692166619238,0.02821256267013427,True
0.29,0.64,6.791569678944393,0.2292125350274384,0.026592821202201713,True
0.29,0.65,6.407510367002994,0.21937848292373996,0.025227397177260642,True
0.29,0.66,6.013896537729075,0.2191673294855778,0.025186988251795783,True
0.29,0.67,5.697498569249883,0.22334927941112478,0.02320555886539729,True
0.29,0.68,5.4055558565432245,0.21313163698667378,0.024377944963946928,True
0.29,0.69,5.073848835040053,0.19928752695492866,0.025548720721788626,True
0.29,0.7,4.8067867451669395,0.19891940102752947,0.024526819681340253,True
0.29,0.71,4.586972473848481,0.19080602825429538,0.024945172747050215,True
0.45,0.7,4.451555580424503,0.19861694001696825,0.024526819681340253,True
0.29,0.72,4.369156158141953,0.19969299757064393,0.02305801314723879,True
0.45,0.71,4.262390932725998,0.19008174104796924,0.024945172747050215,True
0.29,0.73,4.1654093170385895,0.1918538161019247,0.02294617782477814,True
0.45,0.73,3.895995111012664,0.19132451353791136,0.02294617782477814,True
0.29,0.75,3.781801263255238,0.18953848522613959,0.022167359659590255,True
0.29,0.76,3.602554939625248,0.1835024542930156,0.024263092700468614,True
0.45,0.75,3.558394071591943,0.18898156639183072,0.022167359659590255,True
0.29,0.77,3.4347042559060124,0.17829059734951214,0.022558935094215995,True
0.29,0.78,3.287970688738718,0.17734746400174806,0.022677178044608136,True
0.45,0.77,3.2494195623175544,0.177403816474614,0.022558935094215995,True
0.29,0.79,3.1646771229953874,0.1743148565696575,0.02402694563893911,True
0.45,0.78,3.1177866837525565,0.17648750198656482,0.022677178044608136,True
0.29,0.8,3.0671153477901445,0.16891531463781137,0.020745529420137163,True
0.29,0.81,2.989198168559982,0.16548633642029978,0.017264648731141752,True
0.29,0.82,2.9165312769601823,0.16492550159782784,0.01475693987395971,True
0.29,0.83,2.8586207951376514,0.1625485134245823,0.019307066435143006,True
