t_l,t_h,speedup,ia_risk,copy_risk,valid
0.31,0.46,20.20417788859786,0.280314326998848,0.02967390017983593,True
0.31,0.49,19.542942114479693,0.22573631731887295,0.02981991924210142,True
0.31,0.58,15.83371594639074,0.23046156417460503,0.02948129993251658,True
0.31,0.59,15.362058646394008,0.22488975696039035,0.02965645194681278,True
0.53,0.58,12.921919190102459,0.21518936917198667,0.02948129993251658,True
0.53,0.59,12.606054915963801,0.20685224769885033,0.02965645194681278,True
0.56,0.59,11.62091530532051,0.2056717652757185,0.02965645194681278,True
0.31,0.7,10.125063680279444,0.28592570074649354,0.027603956851495193,True
0.31,0.71,9.676038885115672,0.2704804321189649,0.027059648153566634,True
0.31,0.72,9.242506380285796,0.28261554551248436,0.02585251677400024,True
0.63,0.71,6.620450827927574,0.26911288352021384,0.027059648153566634,True
0.65,0.71,6.245403679374582,0.24599473015243647,0.027059648153566634,True
0.65,0.72,6.0618758806954665,0.2780689723174885,0.02585251677400024,True
0.67,0.71,5.84572866143589,0.24274388982704245,0.027059648153566634,True
0.68,0.71,5.551370130879772,0.23443894871488635,0.027059648153566634,True
0.69,0.71,5.347110829601966,0.16558937371921467,0.027059648153566634,True
0.69,0.72,5.212009784347399,0.2706695848010624,0.02585251677400024,True
0.31,0.81,5.068295140352328,0.28898843397889634,0.018426102295647437,True
0.31,0.82,4.646897019540623,0.2742573026834943,0.016944184260590224,True
0.31,0.83,4.290193360796543,0.2673718106478178,0.01760700874017867,True
0.31,0.84,4.004033949787113,0.2631510780739115,0.016144047919968443,True
0.31,0.85,3.7314400243574872,0.2553967142812432,0.017716082134960065,True
0.31,0.86,3.500063117667485,0.24682050127641245,0.020692440824257415,True
0.31,0.87,3.28140713865786,0.24280044824103528,0.0240799851348681,True
0.65,0.84,3.26245318024224,0.2617588131703459,0.016144047919968443,True
0.31,0.88,3.093517185656823,0.24477442062183222,0.023095831779173733,True
0.65,0.85,3.079171075603023,0.25292114989992126,0.017716082134960065,True
0.63,0.86,2.999326594838492,0.24582997154293298,0.020692440824257415,True
0.31,0.89,2.9487930565450386,0.23582168970611864,0.022043303778100595,True
0.65,0.86,2.919888678969163,0.2433264047919179,0.020692440824257415,True
0.74,0.82,2.8893713833275165,0.25487955967448694,0.016944184260590224,True
0.69,0.85,2.843640771329356,0.2526463862793399,0.017716082134960065,True
0.31,0.9,2.826127095228689,0.23119933342990331,0.021970279058190403,True
0.75,0.82,2.7849223684417224,0.24876297144127346,0.016944184260590224,True
0.74,0.83,2.7473402770845476,0.24661214995356862,0.01760700874017867,True
0.69,0.86,2.70725425208735,0.24238396747981783,0.020692440824257415,True
0.73,0.84,2.7037558688235688,0.25590306427998905,0.016144047919968443,True
0.76,0.82,2.6731542001917656,0.24520840675343936,0.016944184260590224,True
0.75,0.83,2.6527394492842573,0.2408894168714849,0.01760700874017867,True
0.74,0.84,2.627107279039074,0.24321356050921994,0.016144047919968443,True
0.76,0.83,2.5511358236812094,0.23732547477615543,0.01760700874017867,True
0.75,0.84,2.5404748299811786,0.23816628857872474,0.016144047919968443,True
0.74,0.85,2.5069459468029787,0.23393683565791976,0.017716082134960065,True
0.63,0.9,2.490410873099636,0.22904942731517786,0.021970279058190403,True
0.76,0.84,2.4471377228047286,0.23503706901101465,0.016144047919968443,True
0.65,0.9,2.435396214862305,0.22697407418363208,0.021970279058190403,True
0.75,0.85,2.427938057388334,0.22901516035565292,0.017716082134960065,True
0.74,0.86,2.4003390669872706,0.2239830880801289,0.020692440824257415,True
0.76,0.85,2.3425480333682427,0.2257218409382968,0.017716082134960065,True
0.75,0.86,2.3278106607761293,0.21918148294831097,0.020692440824257415,True
0.79,0.82,2.3268538637183513,0.2259171937499286,0.016944184260590224,True
0.76,0.86,2.249204318192316,0.21575471777022276,0.020692440824257415,True
0.79,0.83,2.233852102265644,0.21953704028053592,0.01760700874017867,True
0.76,0.87,2.1568465317283256,0.21388195028663143,0.0240799851348681,True
0.79,0.84,2.153707451200697,0.22086355279866068,0.016144047919968443,True
0.74,0.89,2.127566899765265,0.21527555757831923,0.022043303778100595,True
0.79,0.85,2.0722788702779025,0.21097462755482557,0.017716082134960065,True
0.74,0.9,2.0629624213373994,0.21068928053652958,0.021970279058190403,True
0.75,0.9,2.0091609764725176,0.2070057665948931,0.021970279058190403,True
0.79,0.86,1.9988941464981578,0.20058152021184397,0.020692440824257415,True
0.8,0.86,1.9087919984795678,0.1996478842026981,0.020692440824257415,True
0.79,0.89,1.806067114449144,0.19738299198472328,0.022043303778100595,True
0.79,0.9,1.75929776610546,0.1932424242402754,0.021970279058190403,True
0.8,0.9,1.6891220077934168,0.19242859030929793,0.021970279058190403,True
0.88,0.89,1.2072765421257308,0.15333385547265482,0.022043303778100595,True
0.88,0.9,1.1861974533878283,0.16469886383766855,0.021970279058190403,True
0.31,0.31,21.028,1.0,0.02977886931337046,False
0.31,0.41,20.834922585183012,0.9,0.029817074778947916,False
0.31,0.42,20.72076872012208,0.6837722339831621,0.0295672189405754,False
0.31,0.43,20.645358553535374,0.5358411166387221,0.029582412130998728,False
0.31,0.44,20.533266881382012,0.4376586748096509,0.02960523121531125,False
0.31,0.45,20.45921287142934,0.36904265551980675,0.02962046350581102,False
0.31,0.67,11.665870701556955,0.3206948659561841,0.02889184641467193,False
0.31,0.68,11.009307175225743,0.31387256304045796,0.02875700159248779,False
0.31,0.69,10.558504298928797,0.31553291589270854,0.028498005132340173,False
0.31,0.73,8.677020236477869,0.31441983275871527,0.025826269891275618,False
0.31,0.74,8.242081377613221,0.33277641175906375,0.024650027991645052,False
0.31,0.75,7.773379724537986,0.3330159777103254,0.023524314367617344,False
0.31,0.76,7.2936489447797515,0.32831869233380656,0.02280488876888072,False
0.31,0.77,6.824236787778507,0.3108228441496796,0.02251035382018991,False
0.31,0.78,6.3612649699784924,0.3048413374110929,0.02107375158339163,False
0.31,0.79,5.935305621926874,0.3116818203406995,0.020842137955751946,False
0.31,0.8,5.500779507112949,0.3026501211646305,0.020318005330988407,False
